subId,AUC_rw,AUC_data
11,84.8142642560272,86
12,58.0019871258534,70.5
13,74.9853830208179,75
14,82.7317741712148,80.5
15,92.7009547414049,94
16,79.7455427781066,79.5
17,89.4765973025437,89
18,81.2653779211767,83.5
19,72.2873434340743,76
20,57.7025059193934,48.5
21,75.5790167803208,72.5
22,87.4071906633039,89.5
23,81.277574176879,80
24,87.7956421280535,86.5
25,89.2275841014697,91.5
26,89.8594632363731,92
27,79.2545401189457,82.5
28,91.5635261484198,95
29,76.5612929474778,77
30,92.3389338221072,95
31,84.3586657334067,85.5
32,90.1062251940462,88.5
33,92.3330985506714,95
34,77.3974669057146,67.5
35,82.1948057820515,84
36,86.639822388582,90
37,63.8361732541126,49.5
38,82.9109223484637,84
39,84.9587586892458,86.5
40,64.0926816406008,47.5
41,77.6397879931583,80.5
42,70.1554936123456,57.5
43,88.4809629861898,91
44,91.818142480166,95
45,89.6535829578887,93
46,60.2384556857833,59.5
47,81.6831305681829,87
48,92.6580333156199,95
49,91.2030363474233,90
50,90.9053004633896,93
51,73.1526173932925,74
52,62.4467451043578,64
53,60.8854312829332,57.5
54,75.7303160131008,83.5
55,75.9808275262156,68.5
57,68.3093289115848,68.5
58,64.0792119923905,55
59,63.4809689142492,58.5
60,92.2527971614944,95
